ticker,period_end,revenue,type,industry
SYY,2026-12-31,21075000219.129738,forecast_bear,Consumer
SYY,2026-03-31,20995434588.213737,forecast_bull,Consumer
SYY,2026-06-30,21231493764.95336,forecast_bull,Consumer
SYY,2026-09-30,21470207039.405937,forecast_bull,Consumer
SYY,2026-12-31,21711604252.540867,forecast_bull,Consumer
TGT,2026-01-31,25171468023.427242,forecast,Consumer
TGT,2026-04-30,25073320239.589237,forecast,Consumer
TGT,2026-07-31,24975555150.45396,forecast,Consumer
TGT,2026-10-31,24878171263.83045,forecast,Consumer
TGT,2026-01-31,25220734011.71362,forecast_bear,Consumer
TGT,2026-04-30,25171564071.61093,forecast_bear,Consumer
TGT,2026-07-31,25122489992.437923,forecast_bear,Consumer
TGT,2026-10-31,25073511587.305668,forecast_bear,Consumer
TGT,2026-01-31,25122202035.14086,forecast_bull,Consumer
TGT,2026-04-30,24975268503.934925,forecast_bull,Consumer
TGT,2026-07-31,24829194350.52408,forecast_bull,Consumer
TGT,2026-10-31,24683974548.62066,forecast_bull,Consumer
TJX,2026-01-31,15392619083.50494,forecast,Consumer
TJX,2026-04-30,15673263362.43173,forecast,Consumer
TJX,2026-07-31,15959024458.11771,forecast,Consumer
TJX,2026-10-31,16249995662.376446,forecast,Consumer
TJX,2026-01-31,15254809541.75247,forecast_bear,Consumer
TJX,2026-04-30,15393875382.360403,forecast_bear,Consumer
TJX,2026-07-31,15534208974.490965,forecast_bear,Consumer
TJX,2026-10-31,15675821875.216087,forecast_bear,Consumer
TJX,2026-01-31,15530428625.257408,forecast_bull,Consumer
TJX,2026-04-30,15955163940.21398,forecast_bull,Consumer
TJX,2026-07-31,16391515166.883244,forecast_bull,Consumer
TJX,2026-10-31,16839799984.064594,forecast_bull,Consumer
TSN,2026-03-31,14490893009.615343,forecast,Consumer
TSN,2026-06-30,14670997010.837616,forecast,Consumer
TSN,2026-09-30,14853339483.576778,forecast,Consumer
TSN,2026-12-31,15037948249.284306,forecast,Consumer
TSN,2026-03-31,14401946504.80767,forecast_bear,Consumer
TSN,2026-06-30,14491445757.51707,forecast_bear,Consumer
TSN,2026-09-30,14581501193.116953,forecast_bear,Consumer
TSN,2026-12-31,14672116267.942398,forecast_bear,Consumer
TSN,2026-03-31,14579839514.423016,forecast_bull,Consumer
TSN,2026-06-30,14851653759.961626,forecast_bull,Consumer
TSN,2026-09-30,15128535481.311932,forecast_bull,Consumer
TSN,2026-12-31,15410579152.224012,forecast_bull,Consumer
WMT,2026-01-31,182062159214.41962,forecast,Consumer
WMT,2026-04-30,184665005447.56808,forecast,Consumer
WMT,2026-07-31,187305063194.31525,forecast,Consumer
WMT,2026-10-31,189982864447.95624,forecast,Consumer
WMT,2026-01-31,180779079607.2098,forecast_bear,Consumer
WMT,2026-04-30,182071330969.10184,forecast_bear,Consumer
WMT,2026-07-31,183372819647.5348,forecast_bear,Consumer
WMT,2026-10-31,184683611673.01904,forecast_bear,Consumer
WMT,2026-01-31,183345238821.62946,forecast_bull,Consumer
WMT,2026-04-30,187277023435.39877,forecast_bull,Consumer
WMT,2026-07-31,191293124011.4937,forecast_bull,Consumer
WMT,2026-10-31,195395348680.87808,forecast_bull,Consumer
